Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
Quince,https://www.crunchbase.com/organization/Quince,$1M to $10M,"Apparel, E-Commerce, Logistics, Retail, Retail Technology","San Francisco, California, United States",Quince is an affordable luxury brand that sells high-quality fashion and home goods at low prices through direct sales from the factory.,2813,1-Aug-18,day,251-500,Series C,Private,Late Stage Venture,1-Jan-24,120000000,USD,120000000,261500000,USD,261500000,Series C,6,120000000,USD,120000000,261500000,USD,261500000,"Founders Fund, Wellington Management, Insight Partners, 8VC, DST Global",13,5,https://www.quince.com,Sid Gupta,1,US
Envoy,https://www.crunchbase.com/organization/envoy,$50M to $100M,"Facility Management, Human Resources, Office Administration, Software","San Francisco, California, United States",Envoy transforms modern workplaces with innovations that make office life and work more meaningful.,3125,1-Feb-13,day,251-500,Series C,Private,Late Stage Venture,30-Dec-21,111000000,USD,111000000,170150000,USD,170150000,Series C,4,111000000,USD,111000000,170150000,USD,170150000,"Andreessen Horowitz, Menlo Ventures, Seven Seven Six, Initialized Capital, Haystack",22,3,https://envoy.com,Larry Gadea,1,US
Docker,https://www.crunchbase.com/organization/docker,$100M to $500M,"Developer Platform, Developer Tools, Information Technology, Software","Palo Alto, California, United States","Docker’s platform helps millions of developers efficiently and collaboratively build, share, and run applications.",3348,1-Oct-11,month,501-1000,Series C,Private,Late Stage Venture,31-Mar-22,105000000,USD,105000000,435855439,USD,435855439,Series C,12,105000000,USD,105000000,435855439,USD,435855439,"Tribe Capital, Sequoia Capital, Insight Partners, Lightspeed Venture Partners, Goldman Sachs",40,6,https://www.docker.com,"Kamel Founadi, Sebastien Pahl, Solomon Hykes",3,US
Wheel,https://www.crunchbase.com/organization/enzyme-health,$10M to $50M,"Health Care, Information Technology, Medical, mHealth","Austin, Texas, United States",wheel is a healthcare technology company that provides virtual care for patients.,3415,1-Jan-18,month,251-500,Series C,Private,Late Stage Venture,19-Jan-22,150000000,USD,150000000,215600000,USD,215600000,Series C,5,150000000,USD,150000000,215600000,USD,215600000,"Lightspeed Venture Partners, Coatue, CRV, JP Morgan, Tusk Venture Partners",9,5,https://www.wheel.com,"Griffin Mulcahey, Michelle Davey, Philip Johnson",3,US
Underdog Fantasy,https://www.crunchbase.com/organization/underdog-fantasy,$50M to $100M,"eSports, Fantasy Sports, Gaming","Brooklyn, New York, United States",​Underdog Fantasy is an online daily fantasy sports platform that allows users to participate in Pick'em games and esports projections.,3709,1-Mar-20,day,251-500,Series C,Private,Late Stage Venture,26-Mar-25,70000000,USD,70000000,115000000,USD,115000000,Series C,4,70000000,USD,70000000,115000000,USD,115000000,"BlackRock, Spark Capital, MANTIS Venture Capital, Palm Tree Crew, SV Angel",32,4,https://underdogfantasy.com/,"Brandon Stakenborg, Jeremy Levine",2,US
Babylist,https://www.crunchbase.com/organization/babylist,$100M to $500M,"Baby, E-Commerce, Health Care, Internet, Marketplace, Parenting","Emeryville, California, United States",Babylist is an online tool that offers a universal register and an interactive checklist to assist in products required for parenting.,3939,5-Feb-11,day,251-500,Series C,Private,Late Stage Venture,4-Nov-21,40000000,USD,40000000,40650000,USD,40650000,Series C,4,40000000,USD,40000000,40650000,USD,40650000,"Norwest Venture Partners, 500 Global, Halogen Ventures, Next Play Capital, AltaIR Capital",9,1,https://www.babylist.com/,Natalie Gordon,1,US
Eight Sleep,https://www.crunchbase.com/organization/morphy,$100M to $500M,"Consumer Electronics, Health Care, Wellness","New York, New York, United States",Eight Sleep develops sleep fitness products that feature hydro-powered cooling technology and a health tracker.,4252,1-Jul-14,day,11-50,Series C,Private,Late Stage Venture,30-Aug-21,86000000,USD,86000000,162066621,USD,162066621,Series C,12,86000000,USD,86000000,161446621,USD,161446621,"General Catalyst, Gaingels, Khosla Ventures, Founders Fund, Craft Ventures",85,3,http://eightsleep.com,"Alexandra Zatarain, Andrea Ballarini, Massimo Andreasi Bassi, Matteo Franceschetti",4,US
Acceldata,https://www.crunchbase.com/organization/acceldata,$50M to $100M,"Big Data, Enterprise Software, Infrastructure","Campbell, California, United States","Acceldata ensures data pipeline and analytics quality with observability solutions, enhancing accuracy and reliability for businesses.",4405,1-Aug-18,month,251-500,Series C,Private,Late Stage Venture,10-Oct-23,10000000,USD,10000000,105560000,USD,105560000,Series C,5,10000000,USD,10000000,105560000,USD,105560000,"Insight Partners, Industry Ventures, Lightspeed India Partners, Prosperity7 Ventures, March Capital",8,6,http://acceldata.io,"Ashwin Rajeeva, Gaurav Nagar, Raghu Mitra Kandikonda, Rohit Choudhary",4,US
Motion,https://www.crunchbase.com/organization/motion-f1df,$1M to $10M,"Analytics, Artificial Intelligence (AI), Productivity Tools, Real Time, Software","San Francisco, California, United States","Motion is an AI time management platform that provides real-time interventions, reminders, and analytics.",4648,1-Mar-19,day,11-50,Series C,Private,Late Stage Venture,14-Jun-24,36500000,USD,36500000,63727916,USD,63727916,Series C,5,36500000,USD,36500000,63727916,USD,63727916,"Y Combinator, 468 Capital, HOF Capital, SignalFire, Sam Altman",9,2,https://www.usemotion.com,"Ethan Yu, Harry Qi, Omid Rooholfada",3,US
Quizlet,https://www.crunchbase.com/organization/quizlet,$50M to $100M,"E-Learning, EdTech, Education, Internet, Knowledge Management","San Francisco, California, United States",Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning.,4709,1-Oct-05,month,251-500,Series C,Private,Late Stage Venture,13-May-20,30000000,USD,30000000,62000000,USD,62000000,Series C,3,30000000,USD,30000000,62000000,USD,62000000,"General Atlantic, Union Square Ventures, Costanoa Ventures, Industry Ventures, Owl Ventures",7,4,https://quizlet.com,"Andrew Sutherland, David Margulius",2,US
Mixpanel,https://www.crunchbase.com/organization/mixpanel,$50M to $100M,"Analytics, Mobile Apps, SaaS, Web Apps","San Francisco, California, United States","Mixpanel turns data into decisions with analytics that simplify insights, guide decisions, and measure product and marketing impact.",5289,20-Jun-09,day,251-500,Series C,Private,Late Stage Venture,15-Nov-21,200000000,USD,200000000,277015000,USD,277015000,Series C,6,200000000,USD,200000000,277015000,USD,277015000,"Andreessen Horowitz, Y Combinator, Sequoia Capital, Bain Capital Tech Opportunities, David O. Sacks",9,2,https://mixpanel.com/,"Suhail Doshi, Tim Trefren",2,US
Plus,https://www.crunchbase.com/organization/plusai,$1M to $10M,"Artificial Intelligence (AI), Autonomous Vehicles, Logistics, Transportation","Santa Clara, California, United States",Plus is an AI company whose mission is to build “driving intelligence” to power an autonomous future,5774,1-Jun-16,month,251-500,Series C,Private,Late Stage Venture,1-Mar-21,100150000,USD,100150000,520025102,USD,520025102,Series C,4,100150000,USD,100150000,520025102,USD,520025102,"Sequoia Capital, Lightspeed Venture Partners, HSG, Mayfield Fund, GSR Ventures",18,4,http://plus.ai,"David Liu, Hao Zheng, Shawn Kerrigan, Tim Daly",4,US
Valon Technologies,https://www.crunchbase.com/organization/peach-street,$50M to $100M,"Financial Services, FinTech, Real Estate","New York, New York, United States",Valon is a tech-enabled residential mortgage servicer.,5953,1-Jul-19,day,251-500,Series C,Private,Late Stage Venture,23-Oct-24,100000000,USD,100000000,197100000,USD,197100000,Series C,4,100000000,USD,100000000,197100000,USD,197100000,"Andreessen Horowitz, Human Capital, Bossa Invest, Starwood Capital Group, Freedom Mortgage",16,2,https://www.valon.com,"Andrew Wang, Eric Chiang, Jonathan Hsu",3,US
Vytalize Health,https://www.crunchbase.com/organization/vytalize-health,$1M to $10M,"Health Care, mHealth, Productivity Tools, Wellness","Hoboken, New Jersey, United States",Vytalize Health provides ACO solutions to help doctors accelerate the transition to value-based care.,6535,1-Oct-14,day,251-500,Series C,Private,Late Stage Venture,22-Feb-23,100000000,USD,100000000,175500000,USD,175500000,Series C,6,100000000,USD,100000000,169500000,USD,169500000,"Monroe Capital, Enhanced Healthcare Partners, Dreamit Ventures, KittyHawk, North Coast Ventures",12,5,https://vytalizehealth.com,"Amer Alnajar, Faris Ghawi, Hasan Bayat, Omar Elrabie",4,US
Boulevard,https://www.crunchbase.com/organization/boulevard-3,$10M to $50M,"B2B, Consulting, Internet, Marketing, SaaS","Los Angeles, California, United States",Boulevard is a business management platform developed to help streamline the operations of appointment-based businesses.,6680,18-Feb-16,day,251-500,Series C,Private,Late Stage Venture,9-Aug-22,70000000,USD,70000000,108000000,USD,108000000,Series C,5,70000000,USD,70000000,108000000,USD,108000000,"BoxGroup, VMG Partners, Index Ventures, Bonfire Ventures, Ludlow Ventures",10,5,https://joinblvd.com/,"Matt Danna, Sean Stavropoulos",2,US
Varsity Tutors,https://www.crunchbase.com/organization/varsity-tutors,$100M to $500M,"EdTech, Internet, Video Chat","St Louis, Missouri, United States",Varsity Tutors is a live learning platform that connects students and professionals with personalized instruction to achieve any goal.,6872,1-Feb-07,day,1001-5000,Series C,Private,Late Stage Venture,14-Feb-18,50000000,USD,50000000,107000000,USD,107000000,Series C,4,50000000,USD,50000000,107000000,USD,107000000,"TCV, Chan Zuckerberg Initiative, Learn Capital, Nimble Ventures, David Karandish",8,4,https://www.varsitytutors.com,Chuck Cohn,1,US
Crescendo,https://www.crunchbase.com/organization/crescendo-874d,,"Artificial Intelligence (AI), Customer Service, Outsourcing, Software","San Francisco, California, United States",Crescendo offers a full-stack customer service platform combining the most advanced AI with a global service team.,6966,1-Jan-24,month,11-50,Series C,Private,Late Stage Venture,2-Oct-24,50000000,USD,50000000,50000000,USD,50000000,Series C,1,50000000,USD,50000000,50000000,USD,50000000,"General Catalyst, Celesta Capital, Alorica",3,1,https://www.crescendo.ai,"Anand Chandrasekaran, Andy Lee, Matt Price, Slava Zhakov",4,US
Yellow.ai,https://www.crunchbase.com/organization/yellow-messenger,$100M to $500M,"Artificial Intelligence (AI), Customer Service, Enterprise Software, Generative AI, Information Technology, Intelligent Systems, Software","San Mateo, California, United States","Yellow.ai is a conversational AI platform, enabling enterprises to unlock business potential at scale.",7404,22-Jan-16,day,501-1000,Series C,Private,Late Stage Venture,4-Aug-21,78150000,USD,78150000,102150000,USD,102150000,Series C,5,78150000,USD,78150000,102150000,USD,102150000,"Lightspeed Venture Partners, Titan Capital, Sapphire Ventures, Salesforce Ventures, Lightspeed India Partners",7,5,https://yellow.ai,"Jaya Kishore Reddy Gollareddy, Raghu Ravinutala, Rashid Khan",3,US
Age of Learning,https://www.crunchbase.com/organization/age-of-learning,$100M to $500M,"E-Learning, EdTech, Education","Glendale, California, United States","Age of Learning provides a comprehensive and engaging online curriculum for pre-k, kindergarten, elementary, and middle school programs.",7406,1-Feb-07,month,501-1000,Series C,Private,Late Stage Venture,29-Jun-21,300000000,USD,300000000,531500000,USD,531500000,Series C,5,300000000,USD,300000000,500000000,USD,500000000,"TPG, ICONIQ Growth, Tencent, Qatar Investment Authority, Madrone Capital Partners",5,3,http://www.ageoflearning.com,Doug Dohring,1,US
BuildOps,https://www.crunchbase.com/organization/buildops,$10M to $50M,"Commercial Real Estate, Information Technology, Mobile, Software","Santa Monica, California, United States",BuildOps provides a software platform for modern commercial contractors.,8582,1-Aug-18,month,251-500,Series C,Private,Late Stage Venture,21-Mar-25,127000000,USD,127000000,225800000,USD,225800000,Series C,5,127000000,USD,127000000,225800000,USD,225800000,"Sequoia Capital, Founders Fund, Bond, B Capital, SE Ventures",25,4,http://buildops.com,"Alok Chanani, Neeraj Mittal, Steve Chew",3,US
Bespoken Spirits,https://www.crunchbase.com/organization/bespoken-spirits,$1M to $10M,"Manufacturing, Retail, Wine And Spirits","Menlo Park, California, United States","Bespoken Spirits develops a technology to precisely tailor spirits for aroma, color, and taste in just days.",8649,1-Jan-18,month,11-50,Series C,Private,Late Stage Venture,27-May-25,11000000,USD,11000000,19700990,USD,19700990,Series C,3,11000000,USD,11000000,19700990,USD,19700990,"Derek Jeter, T.J. Rodgers",2,,https://www.bespokenspirits.com/,"Martin Janousek, Stu Aaron",2,US
DiscGenics,https://www.crunchbase.com/organization/discgenics,$10M to $50M,"Biotechnology, Health Care, Life Science, Therapeutics","Salt Lake City, Utah, United States",Regenerative Cell Therapy for Chronic Back Pain.,9057,6-Nov-07,day,11-50,Series C,Private,Late Stage Venture,25-Aug-20,50000000,USD,50000000,68000000,USD,68000000,Series C,3,50000000,USD,50000000,68000000,USD,68000000,"Mitsubishi UFJ Capital, Medical Incubator Japan, Ci:z Investment, CareNet, Najeeb Thomas",5,2,https://www.discgenics.com/,"Christopher Duntsch, Flagg Flanagan, John Robertson, Kevin T. Foley, Mark Cohen, Mike Moffat, Rand Page, Valery Kukekov",8,US
Sendoso,https://www.crunchbase.com/organization/sendoso,$50M to $100M,"B2B, Direct Sales, Marketing Automation, SaaS, Sales Automation","San Francisco, California, United States","Sendoso helps companies connect and drive revenue with personalized gifts, eGifts, virtual experiences, and more.",9516,1-Nov-16,day,251-500,Series C,Private,Late Stage Venture,14-Sep-21,100000000,USD,100000000,152700000,USD,152700000,Series C,5,100000000,USD,100000000,152700000,USD,152700000,"Hack VC, Craft Ventures, Felicis, Oak HC/FT, Stage 2 Capital",11,4,https://sendoso.com,"Braydan Young, Kris Rudeegraap",2,US
Gametime,https://www.crunchbase.com/organization/gametime,$10M to $50M,"E-Commerce, Events, Media and Entertainment, Mobile Apps, Ticketing","San Francisco, California, United States","Gametime sells last-minute tickets to the most popular events in sports, music, and theater.",10051,1-May-13,month,251-500,Series C,Private,Late Stage Venture,26-May-22,30000000,USD,30000000,71599983,USD,71599983,Series C,7,30000000,USD,30000000,71599983,USD,71599983,"Accel, Alumni Ventures, Techstars, Next Play Capital, Maven Ventures",29,5,http://www.gametime.co,Brad Griffith,1,US
Cirkul,https://www.crunchbase.com/organization/cirkul,$100M to $500M,"Consumer Goods, Food and Beverage, Water","Tampa, Florida, United States",Cirkul is a beverage company that makes drinking water with delicious and nutritious flavors.,10301,28-Oct-15,day,251-500,Series C,Private,Late Stage Venture,13-Jun-22,70000000,USD,70000000,111565262,USD,111565262,Series C,4,70000000,USD,70000000,111565262,USD,111565262,"Siddhi Capital, AF Ventures, SC.Holdings, Shane Neman, Proton Enterprises",7,2,https://www.drinkcirkul.com,"Andy Gay, Garrett Waggoner",2,US
Artera,https://www.crunchbase.com/organization/well-health-inc,$1M to $10M,"Artificial Intelligence (AI), Enterprise Software, Health Care, SaaS","Santa Barbara, California, United States",Artera is a SaaS leader transforming patient experience with AI-powered virtual agents (voice and text),11397,14-Apr-15,day,251-500,Series C,Private,Late Stage Venture,24-Nov-20,45000000,USD,45000000,45100000,USD,45100000,Series C,6,45000000,USD,45000000,45100000,USD,45100000,"Techstars, Right Side Capital Management, Freestyle Capital, Jackson Square Ventures, Lead Edge Capital",12,5,https://artera.io,"Guillaume De Zwirek, Joe Tischler",2,US
